"subjectID","trial","roi","meanPE","sdPE","run"
"FP002",6,"pgACC",0.246698,9.37333,"run1"
"FP002",7,"pgACC",0.340091,5.95032,"run1"
"FP002",8,"pgACC",0.0638808,6.48381,"run1"
"FP002",9,"pgACC",-0.352448,6.53087,"run1"
"FP002",10,"pgACC",0.589265,5.44378,"run1"
"FP002",11,"pgACC",0.539459,3.68842,"run1"
"FP002",12,"pgACC",0.609358,4.91879,"run1"
"FP002",13,"pgACC",1.4317,4.69544,"run1"
"FP002",14,"pgACC",0.758973,6.65783,"run1"
"FP002",15,"pgACC",3.58069,7.33973,"run1"
"FP002",16,"pgACC",1.02698,4.65538,"run1"
"FP002",17,"pgACC",1.76356,8.78965,"run1"
"FP002",18,"pgACC",1.24858,7.61916,"run1"
"FP002",19,"pgACC",1.02749,5.37608,"run1"
"FP002",20,"pgACC",-0.893248,10.133,"run1"
"FP002",21,"pgACC",0.910886,5.81689,"run1"
"FP002",22,"pgACC",0.202425,4.68957,"run1"
"FP002",23,"pgACC",-0.311616,4.55372,"run1"
"FP002",24,"pgACC",-0.622624,4.64609,"run1"
"FP002",25,"pgACC",-1.46608,7.80187,"run1"
"FP002",26,"pgACC",1.32409,9.10834,"run1"
"FP002",27,"pgACC",-0.654029,9.57451,"run1"
"FP002",28,"pgACC",0.183197,9.61781,"run1"
"FP002",29,"pgACC",-2.55302,12.2866,"run1"
"FP002",30,"pgACC",-8.29648,11.9035,"run1"
"FP002",31,"pgACC",-0.21572,4.2477,"run1"
"FP002",32,"pgACC",-0.282806,6.49539,"run1"
"FP002",33,"pgACC",0.483323,4.95132,"run1"
"FP002",34,"pgACC",-0.35879,7.21555,"run1"
"FP002",35,"pgACC",-0.518712,5.25732,"run1"
"FP002",36,"pgACC",0.837288,5.11635,"run1"
"FP002",1,"pgACC",0.342997,3.9092,"run2"
"FP002",2,"pgACC",-1.04789,6.52473,"run2"
"FP002",3,"pgACC",0.0212796,8.66509,"run2"
"FP002",4,"pgACC",-1.4481,10.2098,"run2"
"FP002",5,"pgACC",-5.87435,12.2971,"run2"
"FP002",6,"pgACC",-6.10516,10.8435,"run2"
"FP002",7,"pgACC",-3.35306,4.81592,"run2"
"FP002",8,"pgACC",-1.76707,5.51798,"run2"
"FP002",9,"pgACC",-4.82574,7.41901,"run2"
"FP002",10,"pgACC",-3.52298,7.38843,"run2"
"FP002",11,"pgACC",-2.48882,4.66088,"run2"
"FP002",12,"pgACC",-2.1479,10.144,"run2"
"FP002",13,"pgACC",1.54812,8.29383,"run2"
"FP002",14,"pgACC",3.59012,7.52395,"run2"
"FP002",15,"pgACC",6.09825,11.8208,"run2"
"FP002",16,"pgACC",12.5913,11.2487,"run2"
"FP002",17,"pgACC",9.38876,13.71,"run2"
"FP002",18,"pgACC",3.55561,10.5253,"run2"
"FP002",19,"pgACC",1.11161,3.34471,"run2"
"FP002",20,"pgACC",3.1875,5.92765,"run2"
