"subjectID","trial","roi","meanPE","sdPE","run"
"FP002",7,"pgACC",0.237809,5.91497,"run1"
"FP002",8,"pgACC",-0.299491,7.20135,"run1"
"FP002",9,"pgACC",-0.833347,6.95074,"run1"
"FP002",10,"pgACC",0.174483,5.45387,"run1"
"FP002",11,"pgACC",0.130154,5.81957,"run1"
"FP002",12,"pgACC",0.862957,6.87853,"run1"
"FP002",13,"pgACC",1.92729,6.23721,"run1"
"FP002",14,"pgACC",0.902711,5.06098,"run1"
"FP002",15,"pgACC",3.34899,6.78149,"run1"
"FP002",16,"pgACC",1.41848,5.75671,"run1"
"FP002",17,"pgACC",1.45688,5.47316,"run1"
"FP002",18,"pgACC",1.1015,5.90903,"run1"
"FP002",19,"pgACC",0.856777,5.38124,"run1"
"FP002",20,"pgACC",-0.971582,7.03044,"run1"
"FP002",21,"pgACC",0.890148,7.36861,"run1"
"FP002",22,"pgACC",-0.0553832,6.76147,"run1"
"FP002",23,"pgACC",-0.464983,6.57574,"run1"
"FP002",24,"pgACC",-0.996914,5.79191,"run1"
"FP002",25,"pgACC",-1.32298,5.94341,"run1"
"FP002",26,"pgACC",0.458947,6.20312,"run1"
"FP002",27,"pgACC",-1.14497,6.71155,"run1"
"FP002",28,"pgACC",-0.272887,7.0145,"run1"
"FP002",29,"pgACC",-2.52128,7.50789,"run1"
"FP002",30,"pgACC",-4.88627,6.25623,"run1"
"FP002",31,"pgACC",-0.253329,5.59425,"run1"
"FP002",32,"pgACC",-0.659719,6.44696,"run1"
"FP002",33,"pgACC",0.249068,8.24619,"run1"
"FP002",34,"pgACC",-0.428879,7.30033,"run1"
"FP002",35,"pgACC",-0.671344,6.07573,"run1"
"FP002",36,"pgACC",1.01651,5.83263,"run1"
"FP002",1,"pgACC",0.573135,4.68085,"run2"
"FP002",2,"pgACC",-0.663154,5.11522,"run2"
"FP002",3,"pgACC",0.000288224,6.13336,"run2"
"FP002",4,"pgACC",-1.44111,5.92779,"run2"
"FP002",5,"pgACC",-2.79383,5.95276,"run2"
"FP002",6,"pgACC",-2.49186,5.65734,"run2"
"FP002",7,"pgACC",-3.88862,5.36445,"run2"
"FP002",8,"pgACC",-1.62632,7.1456,"run2"
"FP002",9,"pgACC",-3.52007,6.04064,"run2"
"FP002",10,"pgACC",-1.99172,5.94891,"run2"
"FP002",11,"pgACC",-2.65973,6.94027,"run2"
"FP002",12,"pgACC",-1.17721,6.73174,"run2"
"FP002",13,"pgACC",1.06314,6.22664,"run2"
"FP002",14,"pgACC",2.09402,5.10179,"run2"
"FP002",15,"pgACC",3.25059,6.21029,"run2"
"FP002",16,"pgACC",8.20756,7.03069,"run2"
"FP002",17,"pgACC",4.32654,7.89818,"run2"
"FP002",18,"pgACC",2.81427,8.84587,"run2"
"FP002",19,"pgACC",1.98166,5.46959,"run2"
"FP002",20,"pgACC",3.90696,5.81506,"run2"
"FP002",21,"pgACC",2.17713,7.97959,"run2"
"FP002",22,"pgACC",2.88339,8.1072,"run2"
"FP002",23,"pgACC",3.17578,6.36941,"run2"
"FP002",24,"pgACC",2.11299,5.69223,"run2"
"FP002",25,"pgACC",0.757785,5.63578,"run2"
"FP002",26,"pgACC",2.26342,5.72564,"run2"
"FP002",27,"pgACC",1.04352,6.13686,"run2"
"FP002",28,"pgACC",-0.844674,6.58474,"run2"
"FP002",29,"pgACC",-1.27607,5.89323,"run2"
"FP002",30,"pgACC",-1.36836,5.45304,"run2"
"FP002",31,"pgACC",-0.465199,5.7358,"run2"
"FP002",32,"pgACC",-0.874137,5.88063,"run2"
"FP002",33,"pgACC",1.28913,6.32265,"run2"
"FP002",34,"pgACC",-0.104482,6.35776,"run2"
"FP002",35,"pgACC",0.0244554,6.05163,"run2"
"FP002",36,"pgACC",-0.809408,6.89529,"run2"
"FP002",1,"vmPFC",-1.52774,5.21248,"run1"
"FP002",2,"vmPFC",0.64627,5.1745,"run1"
"FP002",3,"vmPFC",0.485153,5.80409,"run1"
"FP002",4,"vmPFC",-1.61556,5.57999,"run1"
"FP002",5,"vmPFC",-0.986084,5.19859,"run1"
"FP002",6,"vmPFC",0.272712,4.75732,"run1"
"FP002",7,"vmPFC",-1.33331,4.96587,"run1"
"FP002",8,"vmPFC",-1.75182,5.76579,"run1"
"FP002",9,"vmPFC",-1.60227,5.73958,"run1"
"FP002",10,"vmPFC",-0.821149,4.70786,"run1"
"FP002",11,"vmPFC",-1.13094,4.87135,"run1"
"FP002",12,"vmPFC",-0.191414,4.64208,"run1"
"FP002",13,"vmPFC",0.338001,4.79212,"run1"
"FP002",14,"vmPFC",0.215114,4.72114,"run1"
"FP002",15,"vmPFC",2.97881,6.1691,"run1"
"FP002",16,"vmPFC",0.254071,4.83942,"run1"
"FP002",17,"vmPFC",1.91839,5.13011,"run1"
"FP002",18,"vmPFC",0.633328,5.09302,"run1"
"FP002",19,"vmPFC",0.0446376,4.61477,"run1"
"FP002",20,"vmPFC",-0.957894,5.08318,"run1"
"FP002",21,"vmPFC",0.0053668,5.43491,"run1"
"FP002",22,"vmPFC",-0.656836,4.91307,"run1"
"FP002",23,"vmPFC",-1.04013,4.42485,"run1"
"FP002",24,"vmPFC",-1.79313,4.34939,"run1"
"FP002",25,"vmPFC",-0.491437,4.49847,"run1"
"FP002",26,"vmPFC",0.629553,4.89334,"run1"
"FP002",27,"vmPFC",0.0740407,5.52063,"run1"
"FP002",28,"vmPFC",-1.84332,5.99676,"run1"
"FP002",29,"vmPFC",-0.961379,6.54205,"run1"
"FP002",30,"vmPFC",-5.71264,5.841,"run1"
"FP002",31,"vmPFC",-1.10567,4.93351,"run1"
"FP002",32,"vmPFC",-0.61868,4.63761,"run1"
"FP002",33,"vmPFC",0.573684,4.71736,"run1"
"FP002",34,"vmPFC",0.512122,5.30244,"run1"
"FP002",35,"vmPFC",0.192778,4.70588,"run1"
"FP002",36,"vmPFC",0.801888,5.1508,"run1"
"FP002",1,"vmPFC",0.564094,4.30617,"run2"
"FP002",2,"vmPFC",-0.672221,4.33862,"run2"
"FP002",3,"vmPFC",-1.0595,5.376,"run2"
"FP002",4,"vmPFC",-2.90169,5.22988,"run2"
"FP002",5,"vmPFC",-4.29642,5.38999,"run2"
"FP002",6,"vmPFC",-2.08738,5.83838,"run2"
"FP002",7,"vmPFC",-3.28852,5.49718,"run2"
"FP002",8,"vmPFC",-0.568804,5.49631,"run2"
"FP002",9,"vmPFC",-3.3257,6.3169,"run2"
"FP002",10,"vmPFC",-1.28549,5.90852,"run2"
"FP002",11,"vmPFC",-2.76065,5.15809,"run2"
"FP002",12,"vmPFC",0.0176175,5.19016,"run2"
